label,selection,database,difference,selection_qty,database_qty,% of DB
Ashwini,0.03287908,0.03365224,-0.00077316,152,2318,0.0022067
Bharani,0.03374432,0.03281021,0.00093411,156,2260,0.00226478
Krittika,0.02314514,0.03683164,-0.01368649,107,2537,0.0015534
Rohini,0.03807052,0.03837052,-0.00030001,176,2643,0.00255513
Mrigashira,0.03720528,0.03912545,-0.00192017,172,2695,0.00249706
Ardra,0.03006706,0.03600412,-0.00593707,139,2480,0.00201797
Punarvasu,0.03287908,0.03646869,-0.00358961,152,2512,0.0022067
Pushya,0.03028337,0.03593153,-0.00564817,140,2475,0.00203249
Ashlesha,0.0266061,0.03799306,-0.01138696,123,2617,0.00178569
Magha,0.03136491,0.03749946,-0.00613454,145,2583,0.00210508
Purva Phalguni,0.04261302,0.04085307,0.00175996,197,2814,0.00286
Uttara Phalguni,0.03807052,0.04070789,-0.00263737,176,2804,0.00255513
Hasta,0.0400173,0.03732524,0.00269206,185,2571,0.00268579
Chitra,0.04153147,0.03839956,0.00313191,192,2645,0.00278742
Swati,0.039801,0.04195642,-0.00215542,184,2890,0.00267127
Vishakha,0.05191434,0.04348079,0.00843356,240,2995,0.00348427
Anuradha,0.04542505,0.03899479,0.00643026,210,2686,0.00304874
Jyestha,0.04239671,0.03823986,0.00415685,196,2634,0.00284549
Mula,0.04261302,0.03677357,0.00583946,197,2533,0.00286
Purva Ashadha,0.04066623,0.0370494,0.00361683,188,2552,0.00272934
Uttara Ashadha,0.03720528,0.03659935,0.00060593,172,2521,0.00249706
Shravana,0.03201384,0.03472656,-0.00271271,148,2392,0.00214863
Dhanishta,0.04910231,0.0315762,0.01752612,227,2175,0.00329554
Shatabhisha,0.03893576,0.03670098,0.00223478,180,2528,0.0026132
Purva Bhadrapada,0.02595717,0.03160523,-0.00564806,120,2177,0.00174213
Uttara Bhadrapada,0.03958469,0.03401519,0.0055695,183,2343,0.00265676
Revati,0.03590742,0.036309,-0.00040158,166,2501,0.00240995
