AA Atanassov
abe lincoln
Adam Driver
adam duritz
adam levine
Adam Savage
Adrienne Shelly
aidan quinn
AJ Jacobs
Alan Ginsberg
Alan Moore
Alan Rickman
Alan Turing
Alan Watts
William Wallace
Lucifer
Aldous Huxley
Alex Kapranos
Alexander McQueen
Alexandre Dumas
Alice Paul
Alison Krauss
Allie Brosh
Amy Poehler
Amy Winehouse
Anaïs Nin
Andrew Fleming
andy kaufman
Andy M Stewart
Angela Lansbury
Anna Kendrick
Anne Lister 
Annie Lennox
anthony hopkins
Antonin Artaud
Arnold Schwarzenegger
Augusten Burroughs
Ayn Rand
balthazar getty
Barbara Stanwyck
Beatrix Potter
Bela Lugosi
Ben Gibbard
Bernadette Banner
Bernard Sumner
Bernie Sanders
Bill Hader
Billie Eilish
billy corgan
Bjork
Bob Dylan
Bob Ross
Bram Stoker
Brandon Flowers
Brandon Small
Brenda Lee
brennan lee mulligan
Bruce Springsteen
bruce willis
buzz aldrin
Camille Paglia
Carl Jung
Carl Sagan
Carly Simon
Carrie-Anne Moss
Charles Dance
Charles Yu
Chelsea Manning
Chet Faker
Chino Moreno
chopin
Chris Isaak
Chris Martin
Chris Ware
Christian Schoe
Christopher Hitchens
Christopher Lee
Christopher Walken
Chuck Klosterman
Cillian Murphy
Clara Bow
Clare Danes
Colin Meloy
Colin Mochrie
Corey Doctorow
Cornel West
Cyndi Lauper
dan harmon
Dan Tyminski
Daniel Clowes
Daniel Day Lewis
Danny Elfman
Danny Kaye
Dave Davies
Dave Duncan
David Blaine
David Bowie
David byrne
david holz 
David Lynch
David Mitchell
David Twohy
David webb peoples
Debbie Harry
demetri martin
Deng Ming-Dao
DH Lawrence
Diane Arbus
Dingo
Doc Hammer
dolly parton
Don Delillo
Don Miguel Ruiz
Donald Southerland
Dostoyevsky
Douglas Adams
Dr. No
Drew Carey
Edie Sedgewick
Edward Gorey
Edward Norton
Elle Fanning
Elliot Page
Elliott Smith
Emily Axford
Emily Bronte
Emily Dickinson
Emma Thompson
Emmylou Harris
Epictetus
F Scott Fitzgerald
Fairuza Balk
Felicia Day
Frances Farmer
Francis Bacon
francois hardy
Frank Herbert
frank miller
Fred Rogers
Freddie Mercury
Gackt
Gary Gygax
Gary Larson
gary sinise
Geena Davis
Gene Roddenberry
George Orwell
Georges Bataille
Glynis Johns
Gordon Gano
Gordon Lightfoot
Grace Slick
Gram Parsons
Greta Garbo
Grimes
Guillermo del Toro
Haruki Murakami
Harvey Keitel
Harvey Milk
hayao miyazaki
HD Thoreau
Helena Bonham Carter
Hieronymus Bosch
Howard Hughes
Howard Zinn
Hunter S Thompson
Ian McDonald 
Ian sch
Iliza Schlesinger
Immortal Technique
Ingmar Bergman
isaac asimov
Isaac Brock
Isabel Allende
Italo Calvino
J Paul Getty
Jack Handy
Jackie Chan
David Attenborough
James Marsters
James Cameron
Jamie Uys
Jane Austen
Jane Wiedlin
Janeane Garafalo
Janeanette Walls
Janet Fitch
Janis Ian
janis joplin
Jarvis Cocker
jason bateman
Jason Schwartzman
jd salinger
Jeffrey Cranor
Jeremy Scahill
Jess Mckenna
Jewel
Jim Carrey
Jim Gaffigan
Jim Henson
Jim Jefferies
Jim Sullivan
Jimi Hendrix
JK Rowling
Joan Baez
Joan Cusack
Joan Didion
Joanne Whalley
Joaquin Phoenix
Jodie Foster
jodorowsky
Joe Genaro 
Joe List
john c reilly
John Galliano
John Green
John Linnell
John Malkovich
John McCrea
John Medina
John Nolan
John Trudell
John Turturro
Johnny Cash
Johnny Depp
Jon Stewart
Jonathan Richman
Joni Mitchell
Jordan Peterson
Jorges Luis Borges
joseph gordon levitt
Joss Whedon
Judy Collins
Julia Ormond
Julia Stiles
Julian Casablancas 
Juliette Binoche
Juliette Lewis
Kaleo Wassman
kanye west
Karolina Zebrowska
Kate Bush
Kate Moss
Kate Winslet
Kathleen Brennan
KD Lang
Keanu Reeves
Keegan-Michael Key
Kelly Link
Kelsey grammar
Kenneth Branagh
Kerry Livgren 
Kirsten Dunst
klaus nomi
Klimt
Kris Kuksi
Krystal Ball
Laura Deming
Leanne Rimes
Lena Lovich
Lene Nystrom
Leonard Cohen
Lester Bangs
Lisa Bonet
Lisa Joy
lois rodden
Lou Reed
Lou Wilson
Louis Theroux
Louise Brooks
Lucas Strunc
Luigi Serafini
Madeleine Stowe
Maggie Gyllenhaal
Maggie Smith
Man Ray
Margaret Sanger
Margot Kidder
Mariah Carey
Marlene Dietrich
Marlon
Martin Gore
Mary Elizabeth Mastrantonio 
Mary Pickford
Mata Hari
matt groenig
Matthew McConaghey
Maurice White
Mia Doi Todd
michael cera
Michael Jackson
Michael Parenti
Michael Piller
Michel Baryshnakov
Michel Gondry
michelle pfeiffer
michio kaku
mike judge
mike patton
minnie driver
Miranda Richardson
mitch hedberg
Monkey Pudding
Morgan Spurlock
Morrissey
Mother Jones
Mylie Cyrus
Nabokov
Natalie Portman
Natasha Lyon
Nathan W Pyle
Nathaniel Hawthorne
Neil Diamond
Neil Gaiman
Neil Patrick Harris
Neil Young
Nicholas Carr
Nick Rhodes
Nico
Nicola Tesla
Niccolo Machiavelli
Nicolas Cage
Leonardo da vinci
Nicole Kidman
Nietzsche
nina kiriki hoffman
Nina Persson
Nina Simone
Noel Fielding
Oscar Wilde
Parkergetajob
Patsy Cline
Paul Almond
Paula Poundstone
Pendleton Ward
Peter Dinklage
Peter Joseph
Peter Murphy
Phil Hanley
philip glass
Pia Llama
Pkd
psy
Rachel Brice
Rachel Griffiths
raul giulia
Ray Davies
Red
Rene Dif
Richard Feynmann
Ricky Gervais
rob thomas
Rob't Williams
Robert Hand
Robert Kurvitz
Robert Michael Nesmith
Robert Preston
Robert Sapolsky
Robert Smith
Robin Williams
Roger Waters
Ron Howard
Ron Paul
Rooney Mara
Roy Orbison
Rusty Hodge
rutger hauer
Ruth Ozeki
sade
Sally Mann
Sam Rockwell
Sandra Bullock
Santino Rice
Sarah Bahbah
Scamper
Scott adams
Scott garriott
Seth Romatelli
Shahrukh Khan
shakira
Shania Twain
Shelly Duvall
Shirley Manson
Simon Cowell
Simon John Charles Le Bon
Sinead O’Connor
Siouxsie Sioux
Snowden
Spencer Crittenden
Stephen Fry
Steve Coogan
Steve Irwin
steve perry
Stevie Nicks
Stieg Larsson
Summer Glau
Suranne Jones
susan sontag
Suzel Fuzeau-Braesch
Sylvia Plath
talullah bankhead
Tara Montesu
Techn9
Technoviking
Ted Kaczynski
Temple Grandin
Terri Gilliam
Thandiwe Newton
Theda Bara
Thom Yorke
Tilda Swinton
Tim Burton
Tim Gunn
Timothy Leary
Tiny Tim
Tippy Hedren
Tom Ellis
Tom Gauld
Tom Petty
Tom Springfield
Tom Waits
Toshio Saeki
Trent Reznor
TS Elliot
Ursula K LeGuin
Vanessa Paradis
Veronica Lake
Vic Micaelis
Victor hugo
Viggo Mortenson
Warren Ellis
Warwick Davis
Waterhouse
Wayne Barlowe
Wayne Brady
Werner Herzog
Wes Anderson
Whoopi Golberg
William “Poogie” Hart
william burroughs
William H Sheldon
Yolandi Visser
Zach Galiafinakis
Zdiszlaw Beksinski
Zelda Fitzgerald
Jamie Foxx
Gianmarco Soresi
Zack Oyama
Black Francis
Thomas Sankara
John Mulaney
Al Brooks
Steve Gutenberg
Norman Finkelstein
Zoe Kravitz
Sam Morril
Trump
Ray Kroc
Henry VIII
Brent Goldberg (Van Wilder)
Rush Limbaugh
Newt gingrich
RuPaul
Glenn Beck
Janice Dickinson
Custer
Paris Hilton
Anthony Cumia
Jerry Falwell
Phil McGraw
Elon Musk
Roseanne Barr
Jeff Yass (ByteDance CEO)
Jerry Springer
Niki Minaj
Vic Manuel Suarez III
Howard Stern
Joan Rivers
Jeff Kinney (Diary of a Wimpy Kid)
chr
Andrew Tate
Harvey Weinstein
Leopold II of Bavaria
Nicole Richie
Tyra Banks
Zhang Yiming (ByteDance founder)
Bill O'Reilly
Daniel Tosh
regina pat's
Tucker Carlson
Nicole Scherzinger (Pussycat Dolls lead)
hp frankie
Henry Kissinger
Sacha Baron Cohen
Maury Povich
Alexey Gerasimov (Skibidi Toilet)
Milo Yiannopoulos
Gregg "Opie" Hughes
L Ron Hubbard
Mother Theresa
frankl
Ronald Reagan
Barbara Walters
Jim Jones
Richard III
Kristi cem
Jack Kerouac
Stephen Pinker
Henry Ford
Oprah
Alhof
Bill Burr
Rhonda Byrne (The Secret)
Susan Somers
Frederick Taylor
Steve Harvey
Trevor Noah
Hugh Grant (Monsanto CEO)
FA Hayek
Ben Shapiro
Alex Jones
Tony Blair
Koch Bros
Dick Cheney
George W Bush
Bill Gates
Hilary Clinton
Margaret Thatcher
Epstein
Pablo Escobar
Maya Angelou
Destiny
Charlie Kirk
Netanyahu
Putin
Benny Morris
Bill Clinton
Diane Feinstein
Tina Kotek
Bill Maher
Nancy Pelosi
Piers Morgan
Denzel Washington
